DATE,TB4WK,year,month
1/1/03,1.15,2003,1
2/1/03,1.18,2003,2
3/1/03,1.16,2003,3
4/1/03,1.14,2003,4
5/1/03,1.06,2003,5
6/1/03,0.96,2003,6
7/1/03,0.88,2003,7
8/1/03,0.93,2003,8
9/1/03,0.89,2003,9
10/1/03,0.89,2003,10
11/1/03,0.92,2003,11
12/1/03,0.87,2003,12
1/1/04,0.83,2004,1
2/1/04,0.9,2004,2
3/1/04,0.95,2004,3
4/1/04,0.89,2004,4
5/1/04,0.89,2004,5
6/1/04,1.02,2004,6
7/1/04,1.16,2004,7
8/1/04,1.35,2004,8
9/1/04,1.52,2004,9
10/1/04,1.6,2004,10
11/1/04,1.88,2004,11
12/1/04,1.92,2004,12
1/1/05,1.99,2005,1
2/1/05,2.32,2005,2
3/1/05,2.6,2005,3
4/1/05,2.59,2005,4
5/1/05,2.59,2005,5
6/1/05,2.78,2005,6
7/1/05,3.04,2005,7
8/1/05,3.28,2005,8
9/1/05,3.16,2005,9
10/1/05,3.44,2005,10
11/1/05,3.84,2005,11
12/1/05,3.61,2005,12
1/1/06,4.03,2006,1
2/1/06,4.31,2006,2
3/1/06,4.47,2006,3
4/1/06,4.52,2006,4
5/1/06,4.61,2006,5
6/1/06,4.62,2006,6
7/1/06,4.8,2006,7
8/1/06,5.08,2006,8
9/1/06,4.68,2006,9
10/1/06,4.88,2006,10
11/1/06,5.13,2006,11
12/1/06,4.78,2006,12
1/1/07,4.84,2007,1
2/1/07,5.09,2007,2
3/1/07,5.11,2007,3
4/1/07,4.89,2007,4
5/1/07,4.72,2007,5
6/1/07,4.42,2007,6
7/1/07,4.71,2007,7
8/1/07,4.11,2007,8
9/1/07,3.7,2007,9
10/1/07,3.72,2007,10
11/1/07,3.63,2007,11
12/1/07,2.79,2007,12
1/1/08,2.68,2008,1
2/1/08,2.23,2008,2
3/1/08,1.34,2008,3
4/1/08,1.04,2008,4
5/1/08,1.73,2008,5
6/1/08,1.69,2008,6
7/1/08,1.58,2008,7
8/1/08,1.65,2008,8
9/1/08,0.86,2008,9
10/1/08,0.26,2008,10
11/1/08,0.09,2008,11
12/1/08,0.03,2008,12
1/1/09,0.05,2009,1
2/1/09,0.22,2009,2
3/1/09,0.1,2009,3
4/1/09,0.09,2009,4
5/1/09,0.14,2009,5
6/1/09,0.1,2009,6
7/1/09,0.15,2009,7
8/1/09,0.12,2009,8
9/1/09,0.06,2009,9
10/1/09,0.04,2009,10
11/1/09,0.05,2009,11
12/1/09,0.03,2009,12
1/1/10,0.02,2010,1
2/1/10,0.06,2010,2
3/1/10,0.11,2010,3
4/1/10,0.15,2010,4
5/1/10,0.15,2010,5
6/1/10,0.08,2010,6
7/1/10,0.16,2010,7
8/1/10,0.15,2010,8
9/1/10,0.12,2010,9
10/1/10,0.14,2010,10
11/1/10,0.13,2010,11
12/1/10,0.08,2010,12
1/1/11,0.14,2011,1
2/1/11,0.11,2011,2
3/1/11,0.06,2011,3
4/1/11,0.03,2011,4
5/1/11,0.02,2011,5
6/1/11,0.02,2011,6
7/1/11,0.04,2011,7
8/1/11,0.02,2011,8
9/1/11,0,2011,9
10/1/11,0.01,2011,10
11/1/11,0.01,2011,11
12/1/11,0,2011,12
1/1/12,0.02,2012,1
2/1/12,0.06,2012,2
3/1/12,0.06,2012,3
4/1/12,0.07,2012,4
5/1/12,0.07,2012,5
6/1/12,0.05,2012,6
7/1/12,0.07,2012,7
8/1/12,0.09,2012,8
9/1/12,0.07,2012,9
10/1/12,0.11,2012,10
11/1/12,0.13,2012,11
12/1/12,0.04,2012,12
1/1/13,0.05,2013,1
2/1/13,0.08,2013,2
3/1/13,0.08,2013,3
4/1/13,0.05,2013,4
5/1/13,0.02,2013,5
6/1/13,0.03,2013,6
7/1/13,0.02,2013,7
8/1/13,0.04,2013,8
9/1/13,0.02,2013,9
10/1/13,0.11,2013,10
11/1/13,0.05,2013,11
12/1/13,0.02,2013,12
1/1/14,0.02,2014,1
2/1/14,0.05,2014,2
3/1/14,0.05,2014,3
4/1/14,0.02,2014,4
5/1/14,0.03,2014,5
6/1/14,0.02,2014,6
7/1/14,0.02,2014,7
8/1/14,0.03,2014,8
9/1/14,0.01,2014,9
10/1/14,0.02,2014,10
11/1/14,0.04,2014,11
12/1/14,0.03,2014,12
1/1/15,0.02,2015,1
2/1/15,0.02,2015,2
3/1/15,0.02,2015,3
4/1/15,0.02,2015,4
5/1/15,0.01,2015,5
6/1/15,0,2015,6
7/1/15,0.03,2015,7
8/1/15,0.03,2015,8
9/1/15,0,2015,9
10/1/15,0.01,2015,10
11/1/15,0.07,2015,11
12/1/15,0.17,2015,12
1/1/16,0.22,2016,1
2/1/16,0.25,2016,2
3/1/16,0.25,2016,3
4/1/16,0.19,2016,4
5/1/16,0.22,2016,5
6/1/16,0.22,2016,6
7/1/16,0.26,2016,7
8/1/16,0.26,2016,8
9/1/16,0.18,2016,9
10/1/16,0.24,2016,10
11/1/16,0.29,2016,11
12/1/16,0.41,2016,12
1/1/17,0.49,2017,1